Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Recycled on-site,Energy recovery on-site,Treated on-site
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1991,BENZENE,'000071432',19000,2000,21000,0,0,0,21000,4600,0,510000
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1991,BENZENE,'000071432',4500,280,4780,390,0,0,5170,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1991,BENZENE,'000071432',9,8,17,0,0,0,17,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1992,BENZENE,'000071432',14,8,22,0,0,0,22,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1992,BENZENE,'000071432',4020,280,4300,.,0,0,4300,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1992,BENZENE,'000071432',8500,2200,10700,0,0,0,10700,34000,0,570000
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1993,BENZENE,'000071432',3700,1240,4940,0,0,0,4940,17,0,560
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1993,BENZENE,'000071432',9200,2100,11300,0,0,0,11300,93,0,30000
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1994,BENZENE,'000071432',481,1482,1963,0,0,0,1963,0,0,310
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1994,BENZENE,'000071432',2100,1700,3800,0,0,0,3800,8,9,5400
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1995,BENZENE,'000071432',3000,2500,5500,0,0,0,5500,0,0,14000
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1995,BENZENE,'000071432',150,2130,2280,5,0,12,2297,54,0,600
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1996,BENZENE,'000071432',116,2360,2476,6,0,0,2482,33,0,640
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1996,BENZENE,'000071432',48,36,84,0,0,0,84,3500,0,190
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1996,BENZENE,'000071432',4400,2300,6700,0,0,0,6700,0,0,22000
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1996,BENZENE,'000071432',4,100,104,0,0,0,104,0,0,6
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1997,BENZENE,'000071432',154,2862,3016,8,0,0,3024,56,0,154
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1997,BENZENE,'000071432',54,27,81,0,0,0,81,4000,0,210
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1997,BENZENE,'000071432',2300,1600,3900,0,0,0,3900,0,0,20000
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1997,BENZENE,'000071432',4,100,104,0,0,0,104,0,0,6
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1998,BENZENE,'000071432',241,2401,2642,155,0,5,2802,51,0,62
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1998,BENZENE,'000071432',71,28,99,0,0,0,99,5400,0,290
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1998,BENZENE,'000071432',1000,1400,2400,3,0,0,2403,0,0,22000
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1998,BENZENE,'000071432',4,100,104,0,0,0,104,0,0,6
