Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 4247 - Petroleum Bulk Terminals,24,620,644,0,0,0,644,260,904,255,.,0,0,0,515,0,16,0,0,0,0,20,36,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,BENZENE,'000071432',C,R,NAICS 4247 - Petroleum Bulk Terminals,20,456,476,0,0,0,476,5,481,5,.,0,0,0,10,0,5,0,0,0,0,2,7,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,CYCLOHEXANE,'000110827',C,R,NAICS 4247 - Petroleum Bulk Terminals,33,783,816,0,0,0,816,10,826,250,.,0,0,0,260,0,8,0,0,0,0,10,18,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,ETHYLBENZENE,'000100414',C,R,NAICS 4247 - Petroleum Bulk Terminals,133,500,633,0,0,0,633,10,643,5,.,0,0,0,15,0,10,0,0,0,0,7,17,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,METHANOL,'000067561',C,R,NAICS 4247 - Petroleum Bulk Terminals,11,547,558,0,0,0,558,.,558,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,METHYL TERT-BUTYL ETHER,'001634044',C,R,NAICS 4247 - Petroleum Bulk Terminals,13,571,584,0,0,0,584,260,844,255,.,0,0,0,515,0,50,0,0,0,0,60,110,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,N-HEXANE,'000110543',C,R,NAICS 4247 - Petroleum Bulk Terminals,46,967,1013,0,0,0,1013,260,1273,250,.,0,0,0,510,0,14,0,0,0,0,18,32,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,NAPHTHALENE,'000091203',C,R,NAICS 4247 - Petroleum Bulk Terminals,2,40,42,0,0,0,42,10,52,5,.,0,0,0,15,0,5,0,0,0,0,7,12,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,POLYCYCLIC AROMATIC COMPOUNDS,'N590',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,1,1,0,0,0,1,.,1,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,PROPYLENE,'000115071',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,11,11,0,0,0,11,.,11,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,TOLUENE,'000108883',C,R,NAICS 4247 - Petroleum Bulk Terminals,107,3128,3235,0,0,0,3235,255,3490,255,.,0,0,0,510,0,34,0,0,0,0,17,51,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,XYLENE (MIXED ISOMERS),'001330207',C,R,NAICS 4247 - Petroleum Bulk Terminals,229,2630,2859,0,0,0,2859,260,3119,255,.,0,0,0,515,0,41,0,0,0,0,49,90,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 4247 - Petroleum Bulk Terminals,34,75,109,0,0,0,109,255,364,5,.,0,0,0,260,0,2,0,0,0,0,144,146,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,BENZENE,'000071432',C,R,NAICS 4247 - Petroleum Bulk Terminals,22,364,386,0,0,0,386,5,391,.,.,0,0,0,5,0,0,0,0,0,0,388,388,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,CRESOL (MIXED ISOMERS),'001319773',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,0,0,0,0,0,0,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,CUMENE,'000098828',C,R,NAICS 4247 - Petroleum Bulk Terminals,1,5,6,0,0,0,6,.,6,.,.,0,0,0,0,0,0,0,0,0,0,6,6,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,CYCLOHEXANE,'000110827',C,R,NAICS 4247 - Petroleum Bulk Terminals,32,547,579,0,0,0,579,255,834,5,.,0,0,0,260,0,19,0,0,0,0,598,617,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,ETHYLBENZENE,'000100414',C,R,NAICS 4247 - Petroleum Bulk Terminals,26,75,101,0,0,0,101,250,351,5,.,0,0,0,255,0,1,0,0,0,0,118,119,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,N-HEXANE,'000110543',C,R,NAICS 4247 - Petroleum Bulk Terminals,42,1101,1143,0,0,0,1143,255,1398,5,.,0,0,0,260,0,2,0,0,0,0,1176,1178,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,NAPHTHALENE,'000091203',C,R,NAICS 4247 - Petroleum Bulk Terminals,6,46,52,0,0,0,52,10,62,5,.,0,0,0,15,0,1,0,0,0,0,64,65,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,PHENANTHRENE,'000085018',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,1,1,0,0,0,1,5,6,.,.,0,0,0,5,0,0,0,0,0,0,2,2,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,PHENOL,'000108952',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,1,1,0,0,0,1,5,6,.,.,0,0,0,5,0,0,0,0,0,0,5,5,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,PROPYLENE,'000115071',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,657,657,0,0,0,657,.,657,.,.,0,0,0,0,0,0,0,0,0,0,657,657,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,TOLUENE,'000108883',C,R,NAICS 4247 - Petroleum Bulk Terminals,149,785,934,0,0,0,934,255,1189,5,.,0,0,0,260,0,3,0,0,0,0,985,988,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,XYLENE (MIXED ISOMERS),'001330207',C,R,NAICS 4247 - Petroleum Bulk Terminals,153,359,512,0,0,0,512,255,767,5,.,0,0,0,260,0,4,0,0,0,0,599,603,0
