Sample ID,Date,Time,A/S Loc,Initial Sample Vol,Aliquot Vol.,Analyte Name,Elem,Wavelength,Int (Corr),Conc (Calib),Conc (Samp),Repl No1,Date1,Time1,Int (Corr)1,Conc (Calib)1,Conc (Samp)1,Repl No2,Date2,Time2,Int (Corr)2,Conc (Calib)2,Conc (Samp)2,Repl No3,Date3,Time3,Int (Corr)3,Conc (Calib)3,Conc (Samp)3,Repl No4,Date4,Time4,Int (Corr)4,Conc (Calib)4,Conc (Samp)4,Repl No5,Date5,Time5,Int (Corr)5,Conc (Calib)5,Conc (Samp)5
14 (Bryant 5),4/20/17,10:41:10 AM,114, , ,Pb 220.353,Pb,220.353,9773.142779,70.39950741,703.9950741,1,4/20/17,10:41:37 AM,9713.979329,69.97333153,699.7333153,2,4/20/17,10:41:38 AM,9642.255152,69.45667616,694.5667616,3,4/20/17,10:41:39 AM,9932.163789,71.54499367,715.4499367,4,4/20/17,10:41:41 AM,9720.820636,70.02261196,700.2261196,5,4/20/17,10:41:42 AM,9856.494987,70.99992372,709.9992372
15 (CUC 1),4/20/17,10:41:53 AM,115, , ,Pb 220.353,Pb,220.353,477.9180257,3.442617626,34.42617626,1,4/20/17,10:42:25 AM,479.2638881,3.452312363,34.52312363,2,4/20/17,10:42:31 AM,455.0713301,3.278044555,32.78044555,3,4/20/17,10:42:38 AM,462.8316815,3.333945194,33.33945194,4,4/20/17,10:42:44 AM,501.6024412,3.613225098,36.13225098,5,4/20/17,10:42:50 AM,490.8207878,3.535560921,35.35560921
16 (Griffith 2),4/20/17,10:43:01 AM,116, , ,Pb 220.353,Pb,220.353,7117.508858,51.27000894,512.7000894,1,4/20/17,10:43:28 AM,7062.810561,50.87599718,508.7599718,2,4/20/17,10:43:29 AM,7143.962638,51.46056515,514.6056515,3,4/20/17,10:43:30 AM,7043.278109,50.73529781,507.3529781,4,4/20/17,10:43:32 AM,7165.614872,51.61653408,516.1653408,5,4/20/17,10:43:33 AM,7171.878109,51.66165045,516.6165045
17 (Bryant 1),4/20/17,10:43:44 AM,117, , ,Pb 220.353,Pb,220.353,4484.722085,32.30508679,323.0508679,1,4/20/17,10:44:11 AM,4446.421245,32.02919189,320.2919189,2,4/20/17,10:44:12 AM,4590.159122,33.06458817,330.6458817,3,4/20/17,10:44:13 AM,4581.048016,32.99895755,329.9895755,4,4/20/17,10:44:15 AM,4352.496482,31.35261761,313.5261761,5,4/20/17,10:44:16 AM,4453.485559,32.08007871,320.8007871
18 (Blaisdell 3),4/20/17,10:44:27 AM,118, , ,Pb 220.353,Pb,220.353,6476.973566,46.65599991,466.5599991,1,4/20/17,10:44:54 AM,6434.633139,46.35100638,463.5100638,2,4/20/17,10:44:55 AM,6683.695054,48.14509008,481.4509008,3,4/20/17,10:44:56 AM,6515.04043,46.93020939,469.3020939,4,4/20/17,10:44:58 AM,6324.596733,45.55837407,455.5837407,5,4/20/17,10:44:59 AM,6426.902475,46.2953196,462.953196
19 (Blaisdell 5),4/20/17,10:45:10 AM,119, , ,Pb 220.353,Pb,220.353,4927.407912,35.49391405,354.9391405,1,4/20/17,10:45:38 AM,4804.557534,34.60897803,346.0897803,2,4/20/17,10:45:39 AM,5046.692101,36.35316151,363.5316151,3,4/20/17,10:45:40 AM,4942.960314,35.60594367,356.0594367,4,4/20/17,10:45:42 AM,4955.317577,35.69495754,356.9495754,5,4/20/17,10:45:43 AM,4887.512034,35.20652951,352.0652951
20 (Cahuilla 4),4/20/17,10:45:54 AM,120, , ,Pb 220.353,Pb,220.353,7985.749792,57.52426465,575.2426465,1,4/20/17,10:46:22 AM,7930.421966,57.12571817,571.2571817,2,4/20/17,10:46:23 AM,7754.654066,55.85959796,558.5959796,3,4/20/17,10:46:24 AM,7930.037273,57.12294708,571.2294708,4,4/20/17,10:46:25 AM,8147.224403,58.68742509,586.8742509,5,4/20/17,10:46:27 AM,8166.411251,58.82563495,588.2563495
21 (Cahuilla 2),4/20/17,10:46:38 AM,121, , ,Pb 220.353,Pb,220.353,2184.991154,15.73928719,157.3928719,1,4/20/17,10:47:06 AM,2113.930622,15.22741229,152.2741229,2,4/20/17,10:47:07 AM,2230.62658,16.06801579,160.6801579,3,4/20/17,10:47:08 AM,2126.984063,15.32144098,153.2144098,4,4/20/17,10:47:09 AM,2195.801943,15.81716124,158.1716124,5,4/20/17,10:47:11 AM,2257.612563,16.26240565,162.6240565
22 (Mystery Sample),4/20/17,10:47:22 AM,122, , ,Pb 220.353,Pb,220.353,4492.552316,32.36149079,323.6149079,1,4/20/17,10:47:50 AM,4495.191609,32.38050258,323.8050258,2,4/20/17,10:47:51 AM,4583.708774,33.01812397,330.1812397,3,4/20/17,10:47:52 AM,4422.838548,31.85931713,318.5931713,4,4/20/17,10:47:54 AM,4461.869389,32.1404705,321.404705,5,4/20/17,10:47:55 AM,4499.15326,32.4090398,324.090398
23 (Marston 1),4/20/17,10:48:06 AM,123, , ,Pb 220.353,Pb,220.353,6102.664386,43.95971453,439.5971453,1,4/20/17,10:48:34 AM,5941.280606,42.79720838,427.9720838,2,4/20/17,10:48:35 AM,6142.553391,44.24704957,442.4704957,3,4/20/17,10:48:36 AM,6000.945468,43.22699612,432.2699612,4,4/20/17,10:48:37 AM,6222.394958,44.82217746,448.2217746,5,4/20/17,10:48:39 AM,6206.147506,44.70514114,447.0514114
24 (Marston 2),4/20/17,10:48:50 AM,124, , ,Pb 220.353,Pb,220.353,5238.442854,37.73441203,377.3441203,1,4/20/17,10:49:18 AM,5271.236908,37.97063955,379.7063955,2,4/20/17,10:49:19 AM,5336.146587,38.43820762,384.3820762,3,4/20/17,10:49:20 AM,5239.440019,37.74159498,377.4159498,4,4/20/17,10:49:22 AM,5068.756928,36.5121025,365.121025,5,4/20/17,10:49:23 AM,5276.633826,38.00951552,380.0951552
25 (Jumpa 5),4/20/17,10:49:34 AM,125, , ,Pb 220.353,Pb,220.353,1506.009788,10.84833708,108.4833708,1,4/20/17,10:50:02 AM,1442.961812,10.39417955,103.9417955,2,4/20/17,10:50:03 AM,1538.434936,11.08190724,110.8190724,3,4/20/17,10:50:04 AM,1445.907286,10.41539687,104.1539687,4,4/20/17,10:50:05 AM,1590.323612,11.45568027,114.5568027,5,4/20/17,10:50:07 AM,1512.421292,10.89452148,108.9452148
26 (Clayton 1),4/20/17,10:50:18 AM,126, , ,Pb 220.353,Pb,220.353,8034.861149,57.87803164,578.7803164,1,4/20/17,10:50:46 AM,8236.503259,59.33053321,593.3053321,2,4/20/17,10:50:47 AM,7854.570897,56.57933529,565.7933529,3,4/20/17,10:50:48 AM,8131.430493,58.5736558,585.736558,4,4/20/17,10:50:50 AM,7976.961977,57.46096282,574.6096282,5,4/20/17,10:50:51 AM,7974.839118,57.44567109,574.4567109
