"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), top 100  facilities (of 383) for  facilities in All Industries, for  All chemicals,   Los Angeles County, California, 2015"
"Row #","Facility","Latitude","Longitude","Underground","RCRA Subtitle","Other On-Site","Sub Total","Fugitive Air","Point Source","Surface Water","Underground","Land Treatment","RCRA Subtitle","Other Surface","Other Land","Sub Total","Total On-site","Underground","RCRA Subtitle","Other Landfills","Sub Total","Storage Only","Solidification","Wastewater","POTWs (Metal","Underground","RCRA Subtitle","Other Surface","Land Treatment","Other Land","Other Off-site","Waste Broker","Unknown","Sub Total","Total Off-site","Total On- and "
" "," "," "," ","Injection","C Landfills","Landfills","","Emissions","Air Emissions","Discharges","Injection","","C Surface","Impoundments","Disposal","","Disposal or","Injection to","C Landfills","","","","/Stabilization","Treatment-","and Metal","Injection","C Surface","Impoundments","","Disposal","Management","","","","Disposal or","Off-site"
" "," "," "," ","Class I Wells","","","","","","","Class II-V Wells","","Impoundments","","","","Other Releases","to Class I","","","","","(metals only)","Metals Only","Compounds)","Class II-V Wells","Impoundments","","","","","","","","Other Releases","Disposal or"
" "," "," "," ","","","","","","","","Wells","","","","","","","","","","","","","","","Wells","","","","","","","","","","Other Releases"
"14","AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO.1310 E EL SEGUNDO BLVD, EL SEGUNDO CALIFORNIA 90245 (LOS ANGELES)","              33.906","            -118.402","                .0000000","                .0000000","                .0000000","                .0000000","              46.0000000","           8,767.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           8,813.0000000","           8,813.0000000",".","           9,400.0000000","                .0000000","           9,400.0000000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".","              60.0000000",".",".","              60.0000000","           9,460.0000000","          18,273.0000000"
" ","AMMONIA"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           7,900.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           7,900.0000000","           7,900.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","           7,900.0000000"
" ","ETHYLENE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","              15.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","              15.0000000","              15.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","              15.0000000"
" ","METHANOL"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","              17.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","              17.0000000","              17.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","              17.0000000"
" ","PROPYLENE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","              31.0000000","             720.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             751.0000000","             751.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","             751.0000000"
" ","ZINC COMPOUNDS"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             130.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             130.0000000","             130.0000000",".","           9,400.0000000","                .0000000","           9,400.0000000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".","              60.0000000",".",".","              60.0000000","           9,460.0000000","           9,590.0000000"
"15","AIR PRODUCTS & CHEMICALS INC.23300 S ALAMEDA ST, CARSON CALIFORNIA 90810 (LOS ANGELES)","              33.813","            -118.231","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","          17,198.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","          17,198.0000000","          17,198.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","          17,198.0000000"
" ","AMMONIA"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","          13,019.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","          13,019.0000000","          13,019.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","          13,019.0000000"
" ","METHANOL"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           4,179.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           4,179.0000000","           4,179.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","           4,179.0000000"
"16","AIR PRODUCTS & CHEMICALS INC.700 N HENRY FORD AVE, WILMINGTON CALIFORNIA 90744 (LOS ANGELES)","              33.781","            -118.241","                .0000000","                .0000000","                .0000000","                .0000000","             143.8973793","           4,326.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           4,469.8973793","           4,469.8973793",".",".",".",".",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","                .0000000","           4,469.8973793"
" ","AMMONIA"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           4,324.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           4,324.0000000","           4,324.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","           4,324.0000000"
" ","METHANOL"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               2.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               2.0000000","               2.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","               2.0000000"
" ","N-HEXANE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","             143.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             143.0000000","             143.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","             143.0000000"
" ","NICKEL COMPOUNDS"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .1017730","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .1017730","                .1017730",".",".",".",".",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","                .0000000","                .1017730"
" ","ZINC COMPOUNDS"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .7956063","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .7956063","                .7956063",".",".",".",".",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","                .0000000","                .7956063"
"17","AIR PRODUCTS & CHEMICALS INC.3305 E 26TH ST, LOS ANGELES CALIFORNIA 90058 (LOS ANGELES)","              34.013","            -118.213","                .0000000","                .0000000","                .0000000","                .0000000","           3,657.9342000","           1,535.7081000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           5,193.6423000","           5,193.6423000",".",".",".",".",".",".",".",".",".",".",".",".",".","          12,600.0000000",".",".","          12,600.0000000","          12,600.0000000","          17,793.6423000"
" ","1,3-PHENYLENEDIAMINE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .8342000","                .1581000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .9923000","                .9923000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","                .9923000"
" ","4,4'-ISOPROPYLIDENEDIPHENOL"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","                .0000000"
" ","4,4'-METHYLENEDIANILINE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".",".",".",".",".",".","          12,600.0000000",".",".","          12,600.0000000","          12,600.0000000","          12,600.0000000"
" ","DIAMINOTOLUENE (MIXED ISOMERS)"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .1700000","                .0700000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .2400000","                .2400000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","                .2400000"
" ","ETHYLENE GLYCOL"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0200000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0200000","                .0200000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","                .0200000"
" ","FORMALDEHYDE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","             121.7600000","              51.1200000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             172.8800000","             172.8800000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","             172.8800000"
" ","METHANOL"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","           3,157.1000000","           1,325.6000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           4,482.7000000","           4,482.7000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","           4,482.7000000"
" ","METHYL ISOBUTYL KETONE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","             346.9700000","             145.6800000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             492.6500000","             492.6500000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","             492.6500000"
